"Zipcode","Borough","Households","Margin of Error Households","White","Margin of Error White","Black or African American","Margin of Error Black or African American","American Indian and Alaska Native","Margin of Error American Indian and Alaska Native","Asian","Margin of Error Asian","Hispanic or Latino origin (of any race)","Margin of Error Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","Margin of Error White alone, not Hispanic or Latino"
"10065","Manhattan",124322,10806,124925,13797,96086,60328,NA,NA,103965,38444,111122,28348,128469,13172
"10069","Manhattan",137105,34181,146625,44145,NA,NA,NA,NA,138385,61223,NA,NA,146625,44145
"10075","Manhattan",129594,23761,137005,19905,NA,NA,NA,NA,94362,57670,88961,31860,141250,20982
"10128","Manhattan",111937,7135,115502,8496,52199,37674,NA,NA,147861,13354,63776,10382,121816,7332
"10162","Manhattan",182530,115840,182530,115891,NA,NA,NA,NA,NA,NA,NA,NA,182530,115911
"10280","Manhattan",161419,12411,165156,15188,156410,36329,NA,NA,167448,30948,120147,57245,168415,15968
"10282","Manhattan",250000,NA,250000,NA,128750,112785,NA,NA,230804,72089,NA,NA,250000,NA
"10301","Staten Island",55818,3165,66564,4087,39769,9090,NA,NA,75424,17251,44892,4895,74719,8269
"10302","Staten Island",60968,3703,63527,6247,49583,13409,NA,NA,113438,41329,46925,8227,76786,11359
"10303","Staten Island",59898,6597,67872,7122,45393,13400,NA,NA,73417,11895,59521,10562,67273,8416
"10304","Staten Island",54567,7594,65804,8925,41691,10492,125363,26092,75868,23914,32500,8179,78088,10991
"10305","Staten Island",76044,4474,80006,5315,50799,18864,NA,NA,74705,20270,53472,17167,82474,4538
"10306","Staten Island",80025,3683,81962,2928,30507,24343,NA,NA,78702,37477,59345,15461,83778,2515
"10307","Staten Island",81356,7922,82267,8006,NA,NA,NA,NA,136875,88105,73750,31890,82373,8228
"10308","Staten Island",91953,7762,93206,7127,NA,NA,NA,NA,75515,18759,87583,31993,93277,7073
"10309","Staten Island",100343,7472,100330,7257,95054,83403,NA,NA,102803,43330,81813,45872,101951,7076
"10310","Staten Island",69838,5267,78806,4991,52895,9877,NA,NA,73480,26138,42426,8276,87969,11626
"10312","Staten Island",90797,4617,91758,5054,54672,48569,NA,NA,85139,37658,73000,23270,93729,5849
"10314","Staten Island",80956,3676,82915,3066,44960,12763,NA,NA,88098,18523,84625,10647,81633,3502
"10451","Bronx",26979,1561,26782,5640,31250,3247,NA,NA,23750,13003,23166,3081,55804,33812
"10452","Bronx",27206,1504,26958,4325,30486,1895,NA,NA,NA,NA,25164,1594,33295,9002
"10453","Bronx",24421,1663,19425,4269,28780,2856,11774,5344,57768,48855,22293,1815,43063,14884
"10454","Bronx",21542,1793,25000,6967,19196,7163,22853,12423,NA,NA,20597,1699,87326,18590
"10455","Bronx",25489,1768,22817,4785,24629,3037,41375,1605,NA,NA,25634,2316,23906,15131
"10456","Bronx",26724,1449,21655,4137,28628,2322,32083,15758,40143,27175,26613,1767,19160,2825
"10457","Bronx",27036,1813,25825,5034,29721,2133,26404,8175,58417,33357,25043,2175,NA,NA
"10458","Bronx",32129,1654,29272,2491,36160,3750,NA,NA,28269,10049,31547,1931,29179,6143
"10459","Bronx",25762,1386,19337,2785,32633,3555,NA,NA,NA,NA,24672,1610,10909,7364
"10460","Bronx",25948,1782,25668,3593,29218,2843,53681,34355,45417,25894,24929,1906,24257,12548
"10461","Bronx",55847,3033,57245,4483,45729,10611,98375,36141,65516,6876,54637,4564,56994,6005
"10462","Bronx",49962,1689,49427,4418,60846,2245,39322,8326,42794,6023,45043,3409,46587,6134
"10463","Bronx",58881,3180,75048,5076,37460,4810,NA,NA,79191,18306,51352,3390,81077,5106
"10464","Bronx",87853,7453,90230,5420,70893,13601,NA,NA,168417,53071,NA,NA,87000,9064
"10465","Bronx",74079,3608,82128,3875,37636,15060,NA,NA,102625,49946,73524,5328,80072,4525
"10466","Bronx",49906,2514,33151,4976,56981,2976,48558,42846,70719,12714,29451,3516,36786,10947
"10467","Bronx",35381,2109,34327,3227,39177,3472,NA,NA,36289,5986,32196,2864,41676,5430
"10468","Bronx",35398,2099,32621,5079,44406,5280,20452,8580,40313,7660,33444,2579,26936,11102
"10469","Bronx",61090,3171,62047,8337,63064,2910,90250,43234,58073,22386,53355,11833,66513,11801
"10470","Bronx",56658,4888,64714,5213,52720,6830,NA,NA,80197,45322,31607,16089,65701,5383
"10471","Bronx",80932,6295,84796,5044,76979,28149,NA,NA,103092,55562,64429,12899,85957,5225
"10472","Bronx",30593,1808,25276,2916,31493,3430,31765,24164,44688,14653,28223,2923,29048,5568
"10473","Bronx",38924,2039,34615,4808,41862,3817,NA,NA,43490,42721,36276,4363,45592,37414
"10474","Bronx",25896,4067,17297,6057,31287,5987,NA,NA,NA,NA,24090,3740,NA,NA
"10475","Bronx",48734,5181,36398,4554,54196,7582,NA,NA,15833,15474,42595,12243,35560,9380
"11004","Queens",93315,5720,79150,16792,85898,9121,NA,NA,123683,25976,104943,14312,78600,15196
"11101","Queens",57866,5090,76420,7744,24698,7882,18199,11552,91111,28722,33913,10134,95267,9426
"11102","Queens",60436,3357,67145,6229,43023,7108,NA,NA,66333,13269,47050,11490,73857,6721
"11103","Queens",65229,3530,68572,4338,84722,13041,NA,NA,61935,11252,58927,3514,70435,4983
"11104","Queens",63122,4732,67658,4005,51607,11694,NA,NA,52106,8771,47738,7690,75430,4259
"11105","Queens",68050,4274,69914,4981,75819,37007,69550,16785,61042,8029,60045,7442,70929,5428
